row,rebuild,iterations,dichte,particles_per_cell,cell_count,radius,bounds,initial_speed,extra_radius,threads,LINKED_CELLS_rebuild_count_1,LINKED_CELLS_rebuild_count_2,LINKED_CELLS_rebuild_count_3,LINKED_CELLS+NEIGHBOR_LIST_rebuild_count_1,LINKED_CELLS+NEIGHBOR_LIST_rebuild_count_2,LINKED_CELLS+NEIGHBOR_LIST_rebuild_count_3,cr1,cr2,cr3,cn1,cn2,cn3,cb1,cb2,cb3,cb_a,cn_a,cr_a,cb_s,cn_s,cr_s,mr1,mr2,mr3,mn1,mn2,mn3,mb1,mb2,mb3,mb_a,mn_a,mr_a,mb_s,mn_s,mr_s,fb_s,fn_s,fr_s,iterations_until_mix_is_better
14,r,21,0.064,512,125,24,100,0,1.2,11,21,21,21,21,21,21,166.991781,167.039316,167.107124,167.126587,167.001006,166.900931,8.081489,7.860246,7.971735,7.9716683855569,167.009533516251,167.046080371905,0.017947786239476,7.95189325653471,7.95372059931742,288.430194,288.566118,288.411873,77.966421,77.872744,77.833611,14.281285,14.241909,14.147606,14.2237105888576,77.8909452652406,288.469403204705,0.511425958065271,3.18336173381915,13.7122846307924,0.035093616106958,2.49795465342692,0.580043429193157,1.20761790166285
15,r,20,0.064,512,125,26,100,0,1.2,11,20,20,20,20,20,20,170.727285,170.819804,170.669959,170.749623,170.744004,170.757466,8.570224,8.631263,8.657984,8.61990191996794,170.750364422584,170.73902716049,0.087316380993114,8.53318223697977,8.53258553897483,294.16006,294.03394,294.358931,91.34582,91.379153,91.414174,15.220432,15.321521,15.275447,15.2725225712702,91.3797199283883,294.18434075173,0.592953193351276,4.00564196616411,14.6795693779189,0.147256785142881,2.13029080208867,0.581255847450783,1.35768728078849
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10648,20,20.8333333333333,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5832,16,16.6666666666667,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3375,13,13.8888888888889,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1728,10,10.4166666666667,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1000,8,8.33333333333333,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,512,6,6.94444444444445,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,343,5,5.95238095238095,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,343,5,5.20833333333333,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,216,4,4.62962962962963,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,216,4,4.16666666666667,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,125,3,3.78787878787879,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,125,3,3.47222222222222,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,125,3,3.20512820512821,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
